description,youtube,title,organiztion,category,ps number,domain bucket,img
" 1.	Project Statement
To predict the tariff rate for next session (monthly/weekly/daily/hourly) for part truck load (Sundry and LTL).
2.	Project Scope
 The predicting system must include the following:
•	Ability to predict tariff rate for sundry based on historical data
•	Ability to incorporate external factors listed under factors heading below
•	Ability to incorporate automated routing and notifications based on existing business rules
3.	Deliverables
 The project is for TCI Freight division. This project is aimed to automate the generation of tariff rates for part truck load.
 Factors (to be included)
1)	Seasonal Impact: Climatic Influences
2)	Seasonal Impact: Natural calamities
3)	Seasonal Impact: Festivals
4)	Fuel Cost
5)	Distance
6)	Vehicle type/capacity
7)	Toll charge
8)	Labor cost: wages and availability
9)	Demand
10)	Customer loyalty
11)	Government Regulations
12)	Geopolitical events
13)	Transit time 
14)	Nature of Product
15)	Security
16)	Insurance",,PREDICTION OF TARIFF RATE,TCI,Software,PU131,Miscellaneous,https://www.sih.gov.in/uploads/logo/no_image.png
" In order to ensure pedestrian safety and vehicle speed limits in areas with high pedestrian density/residential areas, a system to detect the traffic density/ school areas/ residential areas and accordingly warn the driver about the speed limit for vehicles. 
The participating teams may use vision based systems which sense the speed limit signs or sign boards for schools/hospitals/accident prone areas etc. and may decide upon the safe speed value with which the vehicle need to operate. The system needs to provide a warning to the driver, if the speed limits are breached. For the purpose of demonstration, the warning may be provided using a LCD or a seven segment simple display and a buzzer. The sign boards for the purpose of demonstration needs to be made according to IRC standards and the same can be used by the system for demonstration purposes.",https://www.youtube.com/watch?v=4gq5ZkxQGco&featur,Warning System for Driver,ARAI,Software,UK149,Smart Vehicles,"https://www.sih.gov.in/uploads/logo/20181130123058.jpg
"
" The participating teams are required to come up with a system that doesn’t allow tampering with ignition systems of 2W and also prevents fuel theft etc. The system needs to warn the owner about the tampering of the 2 wheeler ignition key/fuel knob etc. when the parking mode is ON. The teams shall develop a mobile application for warning the user/owner. The vehicle should not start when the ignition key switch is tampered with. 
If the vehicle is lifted during parking mode, the app should alert the user/owner through the app and also track the vehicle.
The system should have the following features:
Tampering detection
tampering of ignition wire
attempt to siphon fuel
attempt to lift vehicle
attempt to start vehicle without key
App/mobile warning system
GPS tracking of vehicle",https://www.youtube.com/watch?v=aa1zCzilFzw&featur,Anti Theft Systems for 2 wheelers,ARAI,Software,UK151,Smart Vehicles,"https://www.sih.gov.in/uploads/logo/20181130123058.jpg
"
" For medical imaging device, a good user experience requires to guide technologist to the specific functions they need most and help them in quick decision making during medical imaging/interventional procedures. Instructions provided are often tedious to read. 


There is need of enhanced customer interaction with intelligent assistant & response. Chatbot can help with artificial intelligence to process language, enabling them to understand human speech or text. They can decipher verbal or written questions and provide responses with appropriate information or direction.


Develop Virtual Assistant for medical device workflow user support with below requirements and constraints-

Essential requirements: 
Front-end mobile & web based interface:-Connects to a variety of channels, such as websites, documented script and messaging through which users interact with the virtual agent. 
Natural language processing or any other intelligent technique to understand user work intent, collect relevant parameters from screen, user clicks, previous workflow, words and sentences, and map those to suggestions/insights for user. 

Key Constraints: 
Standalone application with web interface
Ability to adapt to different screen sizes and orientations, security, and network bandwidth.
App data storage on cloud/server (thin client)",,Virtual Assistant for Medical Device,GE Healthcare,Software,UP176,Healthcare & Biomedical Devices,https://www.sih.gov.in/uploads/logo/20181128160812.jpg
" Description of the problem:
Servers are the crux of our IT infrastructure and are often exposed to great risk. The servers are covered under the layer of firewall, but they are still vulnerable and require security measures. The major concern is the source of threat. Extensive usage of remote connectivity causes improper security and lack of monitoring measures on remote networking equipments. It is required to keep an eye on the wrong doers, the data thieves and their work pattern. BEML has about 30 servers housed in Datacentre in heterogeneous environment with OS HP-UX, Windows based servers.
Outcome expected: 
Requirement of Server based Monitoring & Analysis Tools to alert the servers with Dashboard report on 30 heterogeneous servers available at our Datacentre.",,Creating Ability to Server Logs Management for Analysis & Report of Heterogeneous Servers,BEML Limited,Software,AK209,Software - Web App development,"https://www.sih.gov.in/uploads/logo/20181122153247.jpg
"
" An excavator is a construction vehicle used to excavate or move large objects. The excavator uses a Hydraulic system to generate a Hydraulic force to control the mechanical arm of the machine. It also uses a crawler system for its movement.
The main sections of an excavator are the undercarriage assembly, revolving frame assy. The undercarriage assembly includes tracks, track frame, and final drives, which have a hydraulic motor and gearing providing the drive to the individual tracks. The revolving frame assembly includes the operator cab, counterweight, engine, fuel and hydraulic oil tanks and work attachment of boom, arm & bucket its actuating cylinders, the swing system has swing machinery of gearbox and driving swing motors with hydrostatic primary brake and parking brake as secondary for safe operation of excavator. The hydraulic control system is actuated by operator sitting in operator cabin seat with Hydraulic joystick.  The revolving structure attaches to the undercarriage by way of slewing bearing system. High pressure oil is supplied to the tracks of hydraulic motors through a hydraulic swivel  joint at the axis of the swing center, allowing the machine to slew 360° unhindered and thus provides the left-and-right movement. 
Saving energy of construction machinery, especially the hydraulic excavator is very essential. The development of new energy saving solutions and efficient hydraulic system have become a priority for OEM's.
When hydraulic excavators lower their boom or brake the rotating upper structure, recoverable potential or kinetic energy is available. A new regeneration scheme to recover these energies to reduce the power loss and energy /fuel saving. The total potential energy could be regenerated under the standard operating conditions in the proposed system should be more energy efficient at least 30~40% of existing system.
Outcome expected: 
1.	Propose alternative Design for energy efficient Regenerative Hydraulic system for 100 ton Excavator.
2.	Alternative concept and features should meet or exceed the hydraulic system efficiency of  current hydraulic system.
3.	Concept needs to be described with block diagram and working principle indicating regeneration of hydraulic energy to be described in hydraulic system line diagram.
4.	The proposed energy regeneration system to be verified through simulation result which is done in AMESim / Simulink or any other software.
5.	Need to explain the functional block model, methodology, Algorithm and flow chart used.
6.	The proposed energy recovery system and control strategy should improve energy recovery efficiency and optimize working performance of the system. 
7.	Proposed regenerative hydraulic circuit to be simulated at various operating conditions. The results shall be explained for energy / power saving, improved efficiency, Reduce losses and hydraulic oil temperature control, etc.",,Design of Energy Efficient Regenerative Hydraulic System for 100 Ton Excavator,BEML Limited,Software,AK210,Smart Vehicles,"https://www.sih.gov.in/uploads/logo/20181122153247.jpg
"
" Process Modeling: Develop a Asset Performance Monitoring (APM) platform based on ML algorithms to calculate the real-time reliability and efficiency of the process plant equipments such as heat exchangers, turbines, pumps, motors, compressors, expanders and reacting columns with respect to the design data. 
    Suggestions to optimize the operational parameters of the different equipment’s for getting the maximum possible efficiency in dynamic operational scenario. 
    For ex-  Developing the platform that enables the asset performance monitoring via calculation of the heat transfer efficiency of heat exchangers, optimized operational parameters and reliability for the rotating equipments such as turbines, compressors etc.",https://youtu.be/rFDf8W-H_Yg,Process Modeling,GAIL,Software,BK224,Energy / Renewable Energy,https://www.sih.gov.in/uploads/logo/20181115100535.png
" GAIL procures most of the raw materials, items, office supplies and services through public procurement portal based on tendering system. We need to develop a blockchain secured system to control this procurement process. As an example, developer shall implement end-to-end process for Steel-pipes, that contains steps like A)procurement from Indian/Overseas vendor B)Shipping C) Transportation in intermediary points D) acceptance at GAIL store E) Payment to Vendor using smart contracts
The implementation should use Open source technologies like Ethereum or equivalent and be able to show simple and good UI + clear documentation with out of the box thinking",https://youtu.be/Z719cAydfqw,Blockchain Powered Procurement System for GAIL,GAIL,Software,BK225,Energy / Renewable Energy,https://www.sih.gov.in/uploads/logo/20181115100535.png
" - In Gas pipe line system SCADA is installed for the monitoring of the data. Various alarms in the large volumes appear.
- An application can be built to analyze those alarms in correlation with the sequence of process events to identify the pattern of alarms associated with process trips or anomaly so as to provide pro-active alert before such deviation.
- Pattern recognition of the alarms and sequence of the events required to predict the probable abnormality or deviation of the plant operations from the normal baseline operations.
- System to group similar type of alarms as per equipments, units and plants along with the identification of the critical alarms on the basis of process history.
- Identification of false positive and false negative alarms to be provided by the system.
- Alarm analysis report to be notified to the authorized user on daily basis via mail.
For ex- Developing the platform that identify the patterns from the large volumes of alarms on the basis of history alarms and sequence of process events and shall provide the prediction for the deviation associated with process and related assets.",https://youtu.be/JNuyYTVuRm4,Design of alarms management and analytics,GAIL,Software,BK226,Energy / Renewable Energy,https://www.sih.gov.in/uploads/logo/20181115100535.png
" Tourism in India is important for the country economy and is growing rapidly. The sector is predicted to grow at an annual rate of 6.9% to rupees 32.05 lakh crore(US$460 billion) by 2028 (9.9% of GDP). In October 2015, India medical tourism sector was estimated to be worth US$3 billion, and it is projected to grow to US$7–8 billion by 2020. In 2014, 184,298 foreign patients traveled to India to seek medical treatment.Students teams are expected to develop a context-based NLP engine to guide the tourists using MindMeld capabilities. MindMeld is a platform to power the next generation of chat and voice assistants. It is an AI platform for building conversational interfaces.

Solution Expected: 

The requirements are to develop a WebEx Team bot capable of NLP to guide tourists. Student teams can choose any one from some of the scenarios that we have listed below. Tourism can be classified into the following sectors and provide help based on the nature of tourism.
1. Cruise Tourism - An itinerary Manager that proposes day-by-day schedule of the cruise with a complete list of attractions at each place along with the route navigation system.
2. Adventure Tourism - Since its adventures the bot must provide a tailor-made experience offering a personalized answer and suitable options based on the situations along with appropriate reminders based on the tourist spot visited. The old-fashioned concept of showcasing only India historical heritage and monuments is changing and people around the world are more interested in ecotourism where they want to see the local flora and fauna. Increasing tourism in the Sundarbans area in West Bengal is an attractive proposition. The region contains the biggest mangrove forest in the world and exotic flora and fauna and the Royal Bengal Tiger.

Tech recommendation:  
The Conversational AI Playbook can be integrated with Webex Teams and help tourists in
the following key areas like
Travel Planner – The Chatbot must act as a virtual travel agent who is able to share the suggestions based on the users travel preferences.
It should be capable to check the Hotel Room Availability
Recommend the right package based on tourist profile.
Keep tourist informed about the details of the journey like check ins, flight /Train status etc.
Route complex queries to human agents in real time (Adventure Tourism)

The evaluations shall be based on the following criteria: 
1. Depth and research to understand Indian Tourism Industry (Domain Knowledge)
2. Depth of understanding of Mind meld capabilities & Business model use cases. 
4. Depth and understanding of technologies proposed in solution, e.g. Mindmeld &
WebEx Teams bot

Resources: 

https://www.mindmeld.com/docs/integrations/webex_teams.html

https://www.mindmeld.com/docs/blueprints/overview.html",,Atithi Devo Bhava,Cisco DEVNET,Software,AM289,Travel and Tourism,https://www.sih.gov.in/uploads/logo/20191129180025.png
" The Mid-day Meal Scheme is a school meal programme of the Government of India and is designed to improve the nutritional standing of school-age children nationwide. The programme supplies free lunches on working days for children in primary and upper primary classes in Government schools. Serving 120,000,000 children in over 1,265,000 schools and Education Guarantee Scheme centers, it is the largest of its kind in the world. Student teams are expected to build machine vision solution to monitor the activities under the Mid-day Meal Scheme. 

Solution Expected: 
As the Mid-Day Meal program runs in schools across the country, continuous auditing and monitoring of the program might be challenging. 
Typical Auditing and Monitoring could involve: 
Ensuring number of students that took meal is same number reported. Lunch served is same as published/reported menu. Alerting in case of discrepancy and capability to centrally see past records / proof (numbers and visual) for any school. To design modules based on the above mentioned activities, video feed shall be provided to the student teams. These feeds shall come from the Meraki security camera. Typically, these shall come from the actual / imitated site i.e. schools, food serving area etc. Student teams are expected to explore the capabilities of Meraki camera’s inbuilt Machine learning (ML) modules and develop solutions around it. E.g. counting students, object recognition etc. Meraki security camera also has an inbuilt functionality to capture snapshot photos. Teams are expected to generate their own database based on the region of interest and features they wish to extract to develop ML models. Along with the expectations of Auditing & Monitoring the student teams should also propose innovative ideas (backed with research) to extract additional information from above snapshots / photos. While architecting the entire system, teams may explore the scalability factor of the system. 

The evaluations shall be based on the following criteria: 

1. Depth and research to understand Mid-Day meal scheme monitoring problem. 
2. Depth of understanding of Meraki camera product capabilities use cases. 
3. Depth and understanding of technologies proposed in solution.

Resources: 
https://developer.cisco.com/meraki 

https://developer.cisco.com/codeexchange/github/repo/CiscoDevNet/Object-
detection-via-Meraki-Camera 

https://developer.cisco.com/meraki/mv-sense/",,Mid-Day Meal Analytics,Cisco DEVNET,Software,AM291,Software - Mobile App development,https://www.sih.gov.in/uploads/logo/20191129180025.png
" 1.	At present, Adani operates more than 45 Berths PAN India and approximately 4000 Vessels calling at our Port.
2.	The vessel agents share the ETA by which Port Authorities manage the resource and estimates the TAT.
3.	Vessel TAT are dependent on various Factors like the productivity, resource allocated, Tide etc.
4.	The solution should be such that the Port Authorities are able to effectively predict the Optimum TAT which yields maximum revenue by clearly optimizing the resources used.  
Relooking at the problem:
1.	Can out Current Terminal Operating system (TOS) predict using the available data points?
2.	Do we require an analytical engine to run algorithms?
3.	Will Live Dashboard help to control & monitor the Vessel Operation?
4.	Say our current prediction is 70% accurate we would definitely want to increase the prediction accuracy by 10%.
5.	Can ML be implemented such that the same vessel calling at our port month after month the prediction is actually very accurate?
6.	All vessel related information, resources & Tariff for maximum revenue will be provided. Connections to our DB and Data warehouse access are possible.
If we look at the entire process:
1.	Vessel agent submits the ETA
2.	Port Authority does the berth and resource planning.
3.	Operations are undertaken.
4.	Changes in Planned TAT.
5.	Revision in TAT
6.	Other Vessels incoming are affected by such changes in TAT.
7.	New TAT Prediction for other incoming vessels.",,To Predict the Optimum Vessel Turnaround Time,Adani Port and SEZ Ltd,Software,SM320,Software - Web App development,https://www.sih.gov.in/uploads/logo/no_image.png
